Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
AC006277.2,ENSG00000253392.2,0.145,0.595,-0.478,6.69E-27
AC006277.3,ENSG00000279452.1,0.34,1.205,-0.719,9.21E-46
AC006378.2,ENSG00000236861.6,0,0.12,-0.164,1.41E-20
AC006449.2,ENSG00000279119.1,0.135,41.214,-5.217,1.97E-94
AC006460.2,ENSG00000228509.5,0.02,0,0.029,4.45E-01
AC006486.10,ENSG00000279539.1,0.22,0.06,0.203,3.15E-17
AC006486.9,ENSG00000268643.1,0.04,0,0.057,1.24E-07
AC006538.1,ENSG00000261342.1,0.18,0.49,-0.337,7.63E-17
AC006539.2,ENSG00000240673.1,0.1,0,0.138,6.96E-04
AC006547.13,ENSG00000236540.7,1.255,2.22,-0.514,2.98E-07
AC006547.14,ENSG00000234409.6,0.24,0.555,-0.327,1.68E-03
AC006547.8,ENSG00000243762.1,0.675,0,0.744,1.19E-09
AC006548.28,ENSG00000280156.1,0.01,0,0.014,4.29E-02
AC006942.4,ENSG00000269194.1,0.96,7.545,-2.124,9.59E-100
AC006946.12,ENSG00000235328.1,0,0.49,-0.575,8.35E-39
AC006946.15,ENSG00000235478.4,0.04,0,0.057,4.97E-03
AC006946.16,ENSG00000273203.1,0.17,3.45,-1.927,2.00E-90
AC006946.17,ENSG00000273442.1,0.06,2.26,-1.621,7.68E-105
AC006978.6,ENSG00000235859.5,2.18,7.025,-1.335,8.00E-48
AC006994.1,ENSG00000231063.1,0,0.17,-0.227,1.15E-52
AC006994.2,ENSG00000231294.1,0,0.09,-0.124,6.24E-10
AC006994.3,ENSG00000279317.1,0,0.055,-0.077,1.50E-23
AC007000.10,ENSG00000225726.1,0.19,0.49,-0.324,3.51E-08
AC007009.1,ENSG00000244239.1,6.155,0.15,2.637,2.50E-56
AC007036.4,ENSG00000230751.1,0.05,0.185,-0.174,4.33E-14
AC007036.5,ENSG00000251660.1,0.36,0.27,0.099,1.98E-01
AC007038.7,ENSG00000229127.1,0.23,1.725,-1.148,1.42E-99
AC007041.2,ENSG00000235411.1,0.04,0,0.057,3.39E-05
AC007128.1,ENSG00000229970.3,0.2,0,0.263,1.68E-14
AC007163.2,ENSG00000280298.1,0.06,0,0.084,3.23E-01
AC007163.3,ENSG00000237166.1,0,0.015,-0.021,7.27E-12
AC007163.6,ENSG00000230408.3,0.02,0,0.029,2.08E-01
AC007163.8,ENSG00000234842.1,0.04,0.105,-0.087,5.35E-04
AC007191.4,ENSG00000279407.1,0.75,2.145,-0.846,3.37E-17
AC007192.6,ENSG00000269145.2,1.43,1.324,0.064,4.69E-02
AC007193.10,ENSG00000269124.1,0.23,1.65,-1.107,1.59E-21
AC007204.2,ENSG00000267268.1,0.17,0,0.227,2.62E-10
AC007228.11,ENSG00000269696.1,0.56,1.615,-0.745,6.07E-28
AC007228.5,ENSG00000268352.1,0.05,0.15,-0.131,5.14E-05
AC007228.9,ENSG00000268568.1,0.45,1.86,-0.98,5.88E-57
AC007229.3,ENSG00000267544.1,0.9,0.72,0.144,1.24E-05
AC007238.1,ENSG00000231043.3,0.18,0.23,-0.06,1.50E-01
AC007246.3,ENSG00000231312.6,4.84,14.325,-1.392,2.07E-61
AC007249.3,ENSG00000217258.2,0.13,0.135,-0.006,1.14E-01
AC007255.8,ENSG00000223813.2,0.99,1.025,-0.025,7.18E-01
AC007256.5,ENSG00000213090.2,0.02,0.08,-0.082,1.89E-29
AC007272.3,ENSG00000224672.4,0,0.04,-0.057,7.17E-06
AC007277.3,ENSG00000213981.8,0.01,0,0.014,1.61E-03
AC007278.3,ENSG00000234389.1,0,0.085,-0.118,2.46E-28
AC007279.2,ENSG00000230799.1,0.03,0.16,-0.171,1.35E-25
AC007282.6,ENSG00000224299.1,0,0.115,-0.157,1.03E-04
AC007283.5,ENSG00000234431.2,0.5,0.01,0.571,1.22E-01
AC007285.6,ENSG00000227014.5,0.15,0.16,-0.012,8.56E-02
AC007285.7,ENSG00000231519.1,0.02,0.13,-0.148,2.91E-11
AC007292.3,ENSG00000269318.1,0.19,0.62,-0.445,3.24E-42
AC007292.6,ENSG00000267980.1,0.895,4.6,-1.563,7.91E-70
AC007292.7,ENSG00000269425.1,0.18,0,0.239,1.35E-01
AC007318.5,ENSG00000172974.11,3.815,4.845,-0.28,4.52E-03
AC007319.1,ENSG00000224063.5,0.03,0.425,-0.468,2.30E-35
AC007326.1,ENSG00000279560.1,1.585,6.3,-1.498,4.91E-27
AC007362.3,ENSG00000225216.6,0.03,0.3,-0.336,1.34E-15
AC007365.1,ENSG00000233694.5,0.01,0,0.014,4.70E-03
AC007365.3,ENSG00000226756.1,0.17,0.12,0.063,2.01E-04
AC007383.3,ENSG00000227946.1,7,5.21,0.365,1.28E-04
AC007383.4,ENSG00000231955.1,1.17,1.04,0.089,9.43E-01
AC007386.3,ENSG00000227394.1,0.03,0.19,-0.208,5.84E-14
AC007386.4,ENSG00000232613.6,0.06,0,0.084,2.30E-02
AC007389.3,ENSG00000235725.1,0.665,0,0.736,4.18E-14
AC007391.2,ENSG00000232028.1,0,0.13,-0.176,2.13E-16
AC007392.3,ENSG00000232046.6,0.17,0.79,-0.613,3.21E-08
AC007392.4,ENSG00000237179.5,0.14,0.445,-0.342,8.35E-03
AC007405.4,ENSG00000234350.4,0.26,0.195,0.076,3.13E-02
AC007405.6,ENSG00000239467.5,6.925,1.665,1.572,2.12E-37
AC007560.1,ENSG00000238165.1,0.635,0,0.709,3.06E-04
AC007566.10,ENSG00000244055.1,1.095,5.825,-1.704,1.19E-63
AC007620.3,ENSG00000242539.2,2.425,2.57,-0.06,1.42E-01
AC007743.1,ENSG00000233251.7,0.255,0.365,-0.121,6.37E-01
AC007750.5,ENSG00000236841.7,0.03,0.05,-0.028,9.05E-01
AC007773.2,ENSG00000267213.4,0.505,0.655,-0.137,6.66E-01
AC007787.2,ENSG00000267610.2,0.02,0.03,-0.014,8.46E-01
AC007787.3,ENSG00000279044.1,0.21,0.53,-0.339,2.25E-03
AC007790.4,ENSG00000226205.1,0.09,0,0.124,1.52E-10
AC007792.1,ENSG00000280103.1,0.06,0.425,-0.427,2.65E-25
AC007796.1,ENSG00000267662.1,0,1.52,-1.333,5.82E-167
AC007875.2,ENSG00000231859.1,0,0.2,-0.263,5.28E-20
AC007879.2,ENSG00000234902.6,0.21,0,0.275,1.30E-10
AC007879.4,ENSG00000225916.1,0.04,0,0.057,1.16E-03
AC007879.5,ENSG00000223725.6,0.12,0.06,0.08,1.24E-02
AC007879.7,ENSG00000229647.1,0.465,0.07,0.453,4.04E-14
AC007880.1,ENSG00000234572.1,0.01,0,0.014,5.50E-04
AC007899.3,ENSG00000224891.1,0.11,0.215,-0.13,1.09E-02
AC007906.1,ENSG00000279018.1,0.24,0.335,-0.106,6.90E-03
AC007950.2,ENSG00000276651.1,0.06,0.155,-0.124,6.82E-11
AC007952.4,ENSG00000266311.6,0.03,0.035,-0.007,1.49E-01
AC007952.5,ENSG00000228157.4,0.27,0.73,-0.446,3.68E-15
AC007952.6,ENSG00000197665.7,0.08,0.23,-0.188,9.10E-09
AC007966.1,ENSG00000226747.6,0.05,0.34,-0.352,9.92E-26
AC007969.5,ENSG00000233762.3,18.38,11.01,0.69,1.14E-11
AC008063.2,ENSG00000230918.1,0,0.075,-0.104,1.44E-06
AC008073.7,ENSG00000232642.1,0,0.08,-0.111,2.35E-20
AC008073.9,ENSG00000223754.1,0,0.13,-0.176,1.65E-27
AC008074.1,ENSG00000279644.1,0.14,0,0.189,7.79E-07
AC008074.3,ENSG00000223935.1,0.16,0.265,-0.125,3.78E-07
AC008074.5,ENSG00000237217.1,0,0.19,-0.251,5.79E-24
AC008079.10,ENSG00000280007.1,0.1,0.125,-0.032,1.00E+00
AC008088.4,ENSG00000260907.1,0.05,0.28,-0.286,2.22E-15
AC008132.13,ENSG00000161103.11,0.01,0.03,-0.028,8.60E-01
AC008268.2,ENSG00000237510.7,0.01,0.17,-0.212,1.32E-01
AC008277.1,ENSG00000223642.7,0,0.12,-0.164,2.85E-09
AC008280.3,ENSG00000241114.1,0,0.175,-0.233,8.40E-10
AC008427.2,ENSG00000251583.1,0.03,0,0.043,2.37E-01
AC008440.10,ENSG00000232324.1,0.05,0.12,-0.093,1.80E-02
AC008592.3,ENSG00000251000.1,0.05,0,0.07,2.31E-02
AC008592.8,ENSG00000272021.1,0,0.315,-0.395,4.66E-52
AC008697.1,ENSG00000249738.6,0.04,0,0.057,2.26E-06
AC008746.12,ENSG00000267838.2,0.64,4.845,-1.833,4.59E-88
AC008746.3,ENSG00000227407.1,0.085,0,0.118,1.28E-03
AC008746.5,ENSG00000235681.1,0.83,3.825,-1.399,1.05E-30
AC008753.6,ENSG00000228323.2,0.07,0.15,-0.104,8.29E-01
AC008781.7,ENSG00000228737.2,0.12,0,0.164,2.05E-04
AC008937.3,ENSG00000225230.1,0.02,0.06,-0.055,6.14E-04
AC008982.2,ENSG00000269688.1,0.15,0.315,-0.193,8.39E-04
AC008985.1,ENSG00000278999.1,0.07,0.005,0.09,2.40E-10
AC008992.1,ENSG00000267636.1,0,5.31,-2.658,3.15E-174
AC008993.2,ENSG00000282542.1,0.645,1.89,-0.813,7.61E-17
AC009005.2,ENSG00000267751.5,3.245,1.174,0.965,5.27E-12
AC009014.3,ENSG00000271824.1,0.01,0,0.014,1.89E-01
AC009060.2,ENSG00000280006.1,0.16,0.575,-0.441,2.14E-18
AC009095.4,ENSG00000237718.2,0.2,0.46,-0.283,2.38E-15
AC009120.11,ENSG00000275236.1,0.06,0.15,-0.118,1.84E-13
AC009120.3,ENSG00000239763.2,0.925,3.695,-1.286,3.05E-38
AC009120.4,ENSG00000261404.5,0.14,0.07,0.091,3.40E-02
AC009120.5,ENSG00000260884.1,0.82,2.628,-0.995,5.01E-21
AC009120.6,ENSG00000259972.2,3.49,21.485,-2.324,8.55E-78
AC009133.17,ENSG00000260719.1,0.01,0,0.014,2.54E-01
AC009133.21,ENSG00000275857.1,2.095,1.934,0.077,7.43E-01
AC009166.5,ENSG00000261238.1,0,0.105,-0.144,1.75E-06
AC009166.7,ENSG00000280344.1,0,0.29,-0.367,6.90E-82
AC009228.1,ENSG00000242628.5,0,0.725,-0.787,4.91E-31
AC009237.11,ENSG00000236431.1,0.72,0.385,0.313,1.08E-05
AC009237.16,ENSG00000236750.1,0.085,0,0.118,3.96E-05
AC009237.17,ENSG00000235959.1,0.805,0,0.852,7.42E-16
AC009237.8,ENSG00000229689.3,2.945,0.62,1.284,3.27E-34
AC009238.7,ENSG00000227120.1,0.805,0,0.852,7.42E-16
AC009245.3,ENSG00000230383.1,0.4,0.58,-0.174,3.21E-04
AC009264.1,ENSG00000234352.9,0.04,0,0.057,4.02E-06
AC009299.2,ENSG00000235724.8,0.05,0.235,-0.234,1.82E-16
AC009299.3,ENSG00000227403.1,0.07,0.02,0.069,5.35E-06
AC009299.5,ENSG00000232320.6,1.52,1.36,0.095,4.66E-01
AC009302.2,ENSG00000233868.1,0.265,0,0.339,4.18E-10
AC009303.1,ENSG00000235066.6,0,0.09,-0.124,1.09E-21
AC009303.2,ENSG00000279227.1,0.58,0.335,0.243,2.25E-09
AC009336.19,ENSG00000278500.1,0.95,3.26,-1.127,5.89E-15
AC009403.2,ENSG00000216895.8,4.32,4.08,0.067,1.82E-01
AC009404.2,ENSG00000236255.1,0.445,1.49,-0.785,2.47E-29
AC009473.1,ENSG00000234141.1,0.08,0.2,-0.152,7.62E-16
AC009487.6,ENSG00000226121.2,0.06,0.205,-0.185,7.95E-26
AC009495.2,ENSG00000235192.1,0.575,0.175,0.423,3.95E-10
AC009495.4,ENSG00000229195.1,0.205,0,0.269,4.85E-08
AC009501.4,ENSG00000231609.5,0.23,4.295,-2.106,7.48E-165
AC009502.4,ENSG00000227308.2,0.02,0,0.029,7.71E-03
AC009505.2,ENSG00000235522.6,0.06,0,0.084,1.00E+00
AC009506.1,ENSG00000224152.1,3.31,2.9,0.144,2.54E-02
AC009506.2,ENSG00000225369.1,0,0.02,-0.029,8.29E-17
AC009542.2,ENSG00000231794.5,0.34,0.545,-0.205,1.15E-02
AC009784.3,ENSG00000232053.6,0.01,0,0.014,3.07E-02
AC009948.5,ENSG00000223960.6,5.82,12.2,-0.953,8.46E-19
AC009948.7,ENSG00000238082.1,0.1,0.65,-0.585,1.26E-55
AC009950.1,ENSG00000280755.1,1.765,1.68,0.045,9.36E-01
AC009950.2,ENSG00000225963.7,0.71,2.864,-1.176,1.44E-37
AC009960.3,ENSG00000233311.1,0.005,0,0.007,3.69E-02
AC009961.2,ENSG00000230783.1,0.04,0.06,-0.027,7.10E-02
AC009961.3,ENSG00000226266.6,1.075,0.97,0.075,5.95E-02
AC009967.3,ENSG00000214369.2,0,0.08,-0.111,4.45E-13
AC010132.11,ENSG00000234983.1,0,0.14,-0.189,1.05E-19
AC010136.2,ENSG00000223923.1,1.195,3.29,-0.967,5.27E-14
AC010148.1,ENSG00000235726.5,0.085,0.115,-0.039,1.01E-01
AC010150.1,ENSG00000218682.1,0.18,0,0.239,2.21E-13
AC010168.1,ENSG00000281457.1,12.254,18.194,-0.534,4.31E-01
AC010226.4,ENSG00000249249.1,1.17,6.245,-1.739,3.93E-76
AC010240.2,ENSG00000235253.1,0.11,0.06,0.067,1.64E-02
AC010287.1,ENSG00000279816.1,0,0.185,-0.245,3.23E-34
AC010468.1,ENSG00000214784.4,0.235,0.765,-0.515,2.35E-22
AC010492.2,ENSG00000235081.1,0.02,0.12,-0.135,5.08E-28
AC010504.2,ENSG00000267219.1,0.79,0.645,0.122,5.47E-02
AC010524.2,ENSG00000268686.1,0.66,0.09,0.607,1.09E-13
AC010524.4,ENSG00000268157.1,0,0.13,-0.176,1.58E-16
AC010525.4,ENSG00000267117.1,0.33,0.355,-0.027,4.50E-01
AC010547.9,ENSG00000261611.5,0.09,0.38,-0.34,2.10E-48
AC010642.1,ENSG00000267216.1,0.2,0.4,-0.222,4.95E-09
AC010642.2,ENSG00000269794.1,0.02,0.125,-0.141,1.47E-31
AC010649.1,ENSG00000267448.5,0,0.42,-0.506,1.35E-33
AC010733.5,ENSG00000232713.2,0.405,1.425,-0.787,5.08E-37
AC010761.10,ENSG00000265840.1,0.36,0,0.444,9.79E-12
AC010761.13,ENSG00000265205.1,0.1,0.48,-0.428,8.14E-21
AC010761.8,ENSG00000264577.1,1.46,4.189,-1.077,5.76E-42
AC010761.9,ENSG00000265474.1,0.615,1.17,-0.426,7.29E-05
AC010883.5,ENSG00000234936.1,1.05,2.534,-0.786,3.25E-11
AC010884.1,ENSG00000224509.2,0.07,0.1,-0.04,1.00E+00
AC010886.2,ENSG00000224414.1,0,0.02,-0.029,1.98E-04
AC010890.1,ENSG00000226953.7,0.21,0.61,-0.412,7.67E-09
AC010894.3,ENSG00000226853.2,4.28,1.23,1.244,4.59E-31
AC010900.2,ENSG00000232479.2,0.05,0.13,-0.106,3.39E-20
AC010907.2,ENSG00000237370.1,0,0.06,-0.084,3.21E-15
AC010907.5,ENSG00000224661.1,0,0.07,-0.098,2.44E-04
AC010969.1,ENSG00000188525.3,0.01,0,0.014,6.33E-03
AC010976.2,ENSG00000231731.7,0.635,3.3,-1.395,4.30E-73
AC010980.2,ENSG00000237732.9,0.83,0.335,0.455,7.19E-09
AC010987.6,ENSG00000237013.1,0.18,0,0.239,1.39E-14
AC011239.1,ENSG00000224361.1,0.05,0,0.07,7.59E-02
AC011239.2,ENSG00000279526.1,0.04,0.26,-0.277,1.79E-34
AC011242.5,ENSG00000229695.1,0,0.075,-0.104,2.05E-35
AC011247.3,ENSG00000235586.1,0.15,0,0.202,7.30E-01
AC011284.3,ENSG00000236510.1,0.045,0,0.063,2.54E-06
AC011290.5,ENSG00000236015.1,0.59,4.604,-1.818,1.23E-94
AC011294.3,ENSG00000233539.5,0.04,0,0.057,5.65E-04
AC011298.2,ENSG00000219159.4,0.04,0,0.057,5.08E-04
AC011322.1,ENSG00000233487.6,0.4,0,0.485,7.89E-22
AC011330.13,ENSG00000275601.1,1.695,2.305,-0.294,3.56E-04
AC011330.5,ENSG00000249839.1,0.05,0.5,-0.515,1.27E-25
AC011343.1,ENSG00000253311.1,0,0.01,-0.014,8.09E-03
AC011516.2,ENSG00000268038.1,0,0.47,-0.556,1.67E-37
AC011530.4,ENSG00000268434.5,0.09,0.475,-0.436,6.59E-23
AC011551.3,ENSG00000268423.4,0.08,0,0.111,1.47E-01
AC011558.5,ENSG00000279753.1,18.9,64.666,-1.722,7.86E-12
AC011737.2,ENSG00000204196.5,17.099,26.245,-0.59,1.40E-06
AC011738.4,ENSG00000231638.1,0.01,0.02,-0.014,6.88E-02
AC011747.3,ENSG00000231435.1,0.04,0,0.057,1.47E-06
AC011747.4,ENSG00000236008.1,0.405,0.01,0.476,2.81E-17
AC011816.1,ENSG00000234073.1,0,0.049,-0.069,4.23E-09
AC011893.3,ENSG00000226806.1,0.01,0,0.014,6.32E-04
AC011899.9,ENSG00000233038.5,0.28,0.07,0.259,1.71E-10
AC011933.2,ENSG00000228007.1,0.19,0,0.251,7.26E-11
AC011997.1,ENSG00000222017.1,0.185,0,0.245,3.34E-13
AC012005.3,ENSG00000279274.1,0.03,0.065,-0.048,3.79E-05
AC012065.1,ENSG00000279307.1,0.14,0.405,-0.302,2.13E-23
AC012066.1,ENSG00000213197.3,0.14,0.21,-0.086,1.69E-02
AC012074.2,ENSG00000235072.2,0.31,0.985,-0.6,9.16E-21
AC012123.1,ENSG00000228835.1,2.375,0,1.755,2.56E-54
AC012146.7,ENSG00000234327.7,5.6,3.23,0.642,2.43E-08
AC012314.8,ENSG00000237017.1,0.14,0.635,-0.52,2.91E-48
AC012354.6,ENSG00000225156.2,0.02,0,0.029,1.14E-03
AC012354.8,ENSG00000231848.1,0.215,0.044,0.219,5.75E-07
AC012358.4,ENSG00000227799.1,0.725,0.965,-0.188,2.83E-01
AC012358.7,ENSG00000203327.2,0.1,0.52,-0.467,2.20E-35
AC012358.8,ENSG00000240401.8,1.42,1.9,-0.261,2.23E-01
AC012360.4,ENSG00000235319.1,0.18,0,0.239,2.21E-09
AC012360.6,ENSG00000238273.3,0.15,10.24,-3.289,7.32E-174
AC012362.3,ENSG00000213081.3,0.04,0,0.057,2.02E-04
AC012363.7,ENSG00000236878.1,0.085,0.2,-0.145,3.55E-06
AC012363.8,ENSG00000227788.1,0.04,0.13,-0.12,7.87E-04
AC012370.3,ENSG00000234255.8,0.03,0.035,-0.007,4.23E-01
AC012442.5,ENSG00000243389.1,0.45,0.255,0.208,5.68E-02
AC012485.2,ENSG00000232306.1,0.03,0,0.043,2.45E-03
AC012499.1,ENSG00000229941.5,0.485,0,0.57,2.25E-10
AC012501.3,ENSG00000242575.1,0.02,0.05,-0.042,4.83E-05
AC012506.2,ENSG00000233714.1,0.03,0,0.043,1.68E-02
AC012512.1,ENSG00000226539.1,0.07,0,0.098,1.55E-04
AC012513.4,ENSG00000236478.2,0.1,0.06,0.053,1.79E-02
AC012531.25,ENSG00000260597.1,0.03,2.67,-1.833,2.72E-169
AC012594.1,ENSG00000231898.8,0.02,0,0.029,3.20E-06
AC013264.2,ENSG00000231621.1,0.525,0,0.609,1.21E-12
AC013268.3,ENSG00000235721.1,0.05,0,0.07,3.91E-07
AC013271.3,ENSG00000186148.11,4.06,5.605,-0.384,6.69E-01
AC013275.2,ENSG00000231013.1,0,0.1,-0.138,3.29E-15
AC013439.4,ENSG00000233996.1,0.01,0.24,-0.296,3.94E-79
AC013460.1,ENSG00000229727.6,0.01,0.14,-0.175,4.06E-22
AC013463.2,ENSG00000236283.3,0.03,0.075,-0.062,4.78E-01
AC013470.6,ENSG00000236048.2,0.01,0,0.014,3.93E-01
AC013472.3,ENSG00000205500.8,0.03,0.06,-0.041,1.38E-04
AC013474.4,ENSG00000235128.1,0.02,0.18,-0.21,4.16E-33
AC013717.3,ENSG00000226972.2,0.18,0.1,0.101,1.30E-04
AC015688.3,ENSG00000266728.5,0.3,0,0.379,2.90E-09
AC015849.13,ENSG00000270894.1,0,0.19,-0.251,1.06E-19
AC015849.14,ENSG00000271268.1,0.04,0,0.057,1.16E-05
AC015849.16,ENSG00000270977.1,0.24,0,0.31,7.45E-18
AC015849.19,ENSG00000270871.1,0.29,2.805,-1.561,4.75E-103
AC015849.2,ENSG00000270240.2,0.04,0.055,-0.021,3.23E-02
AC015933.2,ENSG00000227279.1,0.06,0,0.084,4.57E-03
AC015971.2,ENSG00000228363.2,0.08,0.994,-0.885,2.45E-83
AC015987.1,ENSG00000224746.1,0.13,0.17,-0.05,1.00E+00
AC016142.1,ENSG00000280141.1,0.11,0,0.151,5.00E-04
AC016292.3,ENSG00000108958.4,0.49,0.505,-0.014,6.52E-01
AC016549.1,ENSG00000281325.1,0.06,0.04,0.027,2.37E-04
AC016582.2,ENSG00000225868.6,0.155,0.465,-0.343,6.64E-10
AC016629.3,ENSG00000269600.1,0.07,0.24,-0.213,8.70E-04
AC016629.7,ENSG00000269032.1,0.315,0,0.395,7.00E-01
AC016683.5,ENSG00000234174.1,0.04,0,0.057,4.12E-06
AC016700.5,ENSG00000231327.1,3.67,1.66,0.812,5.48E-11
AC016708.2,ENSG00000230076.1,1.405,2.298,-0.456,1.23E-13
AC016712.2,ENSG00000235225.1,0.07,0.185,-0.147,1.36E-07
AC016716.1,ENSG00000223427.1,0.02,0,0.029,2.30E-01
AC016722.4,ENSG00000228925.1,0.24,1.43,-0.971,1.78E-105
AC016723.4,ENSG00000235335.2,0.04,0,0.057,2.82E-03
AC016734.2,ENSG00000228305.2,1.25,0.37,0.716,4.56E-32
AC016735.2,ENSG00000231826.5,0.06,0.04,0.027,1.19E-02
AC016738.3,ENSG00000230140.5,0.04,0,0.057,3.77E-01
AC016738.4,ENSG00000223947.1,0.11,0.225,-0.142,9.24E-01
AC016739.2,ENSG00000218175.2,17.525,23.208,-0.386,2.54E-01
AC016745.3,ENSG00000234997.1,0.03,0,0.043,2.10E-02
AC016747.3,ENSG00000212978.6,8.86,2.28,1.588,2.19E-29
AC016757.3,ENSG00000186235.10,0.645,1.875,-0.805,1.38E-14
AC016831.7,ENSG00000233559.1,0.13,0.12,0.013,4.94E-01
AC016894.1,ENSG00000234624.2,0.23,0,0.299,1.79E-10
AC016907.3,ENSG00000233862.5,0.01,0.09,-0.11,1.25E-24
AC016910.1,ENSG00000232377.1,0,0.205,-0.269,1.66E-82
AC016995.3,ENSG00000231367.5,0.63,2.45,-1.082,3.06E-30
AC016999.2,ENSG00000229915.1,0.13,0,0.176,7.36E-08
AC017002.1,ENSG00000240350.2,0.24,0,0.31,3.14E-13
AC017002.2,ENSG00000224959.1,0.06,0,0.084,5.36E-06
AC017006.2,ENSG00000232696.1,0.13,0,0.176,9.59E-14
AC017035.2,ENSG00000224442.1,0.02,0,0.029,1.56E-05
AC017074.2,ENSG00000227359.1,0.16,0.245,-0.102,2.71E-01
AC017101.10,ENSG00000227227.1,0,0.075,-0.104,1.96E-09
AC017104.2,ENSG00000233538.1,0.07,0,0.098,6.97E-08
AC017104.6,ENSG00000224376.1,0.955,5.865,-1.812,9.91E-70
AC017116.11,ENSG00000239775.1,0.34,1.875,-1.101,6.15E-32
AC018442.1,ENSG00000235683.1,0.025,0.03,-0.007,9.23E-01
AC018462.2,ENSG00000229839.6,0.135,0.03,0.14,3.49E-06
AC018462.3,ENSG00000242735.1,0.25,1.925,-1.226,9.40E-55
AC018463.4,ENSG00000230154.1,0.2,0,0.263,2.04E-17
AC018641.7,ENSG00000226468.2,0.11,0,0.151,7.96E-05
AC018647.3,ENSG00000227544.8,0.12,0.87,-0.74,8.65E-83
AC018738.2,ENSG00000237039.1,0.785,0.89,-0.082,3.80E-01
AC018755.16,ENSG00000269388.1,2.73,0.94,0.943,7.05E-20
AC018766.4,ENSG00000267896.1,1.625,15.4,-2.643,8.56E-100
AC018766.6,ENSG00000268047.1,0.175,1.11,-0.845,1.20E-59
AC018804.6,ENSG00000227632.2,0.09,0.14,-0.065,9.03E-01
AC018804.7,ENSG00000213225.7,0.07,0.82,-0.766,1.30E-03
AC018816.3,ENSG00000235978.6,0.68,0.27,0.404,3.95E-08
AC018865.5,ENSG00000217289.3,0.05,0.04,0.014,5.06E-02
AC018890.6,ENSG00000236449.1,0.03,0.06,-0.041,9.79E-02
AC018892.9,ENSG00000188383.8,0.03,0.16,-0.171,6.28E-22
AC019070.1,ENSG00000224007.1,0.01,0,0.014,3.20E-02
AC019097.7,ENSG00000231822.1,0.76,0.87,-0.087,3.30E-01
AC019117.1,ENSG00000236318.1,2.61,0,1.852,3.53E-21
AC019117.2,ENSG00000236039.1,0.08,0,0.111,9.57E-03
AC019118.3,ENSG00000236760.1,0.03,0,0.043,5.49E-04
AC019129.1,ENSG00000219391.1,0.1,0,0.138,2.19E-04
AC019172.2,ENSG00000227363.1,0,0.16,-0.214,2.13E-26
AC019181.3,ENSG00000224331.2,0,1.39,-1.257,4.92E-81
AC019186.1,ENSG00000234584.1,0.07,0.5,-0.487,2.55E-54
AC020571.3,ENSG00000229056.2,0.22,0.03,0.244,3.61E-08
AC020594.5,ENSG00000237133.1,0.13,0.48,-0.389,8.09E-12
AC020915.2,ENSG00000268866.1,0.03,0,0.043,6.13E-02
AC020951.1,ENSG00000278897.1,0.11,0.695,-0.611,7.03E-28
AC021016.7,ENSG00000230580.1,0.07,0.1,-0.04,9.71E-02
AC021188.4,ENSG00000230747.1,0.07,0.09,-0.027,3.51E-01
AC021218.2,ENSG00000204876.4,0.01,0,0.014,4.12E-04
AC021224.1,ENSG00000262477.1,0.805,5.379,-1.821,2.09E-89
AC022007.5,ENSG00000206567.9,2.46,2.085,0.166,2.87E-02
AC022098.2,ENSG00000281044.1,1.48,0,1.31,2.12E-06
AC022153.1,ENSG00000267623.3,0.06,0,0.084,1.24E-03
AC022154.7,ENSG00000268093.1,0.245,1.125,-0.771,3.35E-56
AC022182.1,ENSG00000254777.5,0.175,0,0.233,1.56E-11
AC022182.2,ENSG00000255397.1,0.03,0.02,0.014,3.78E-05
AC022182.3,ENSG00000254802.1,0.15,0.02,0.173,6.17E-04
AC022201.5,ENSG00000233849.1,0.18,0,0.239,1.24E-08
AC022210.2,ENSG00000213399.3,1.475,2.98,-0.685,4.29E-02
AC022405.1,ENSG00000279084.1,0.055,0,0.077,3.79E-03
AC022819.3,ENSG00000259921.1,0.06,0.24,-0.226,5.94E-41
AC023115.2,ENSG00000235885.7,0.06,0.255,-0.244,2.80E-15
AC023271.1,ENSG00000228513.1,0.05,0.27,-0.274,2.58E-41
AC023590.1,ENSG00000225885.6,0.13,0,0.176,6.62E-13
AC024560.2,ENSG00000236833.1,0.37,1.175,-0.667,3.90E-05
AC024560.3,ENSG00000214135.8,11.95,38.485,-1.608,3.41E-34
AC024592.12,ENSG00000267740.5,3.47,1.02,1.146,4.43E-32
AC024592.9,ENSG00000267709.1,0.05,0,0.07,6.18E-07
AC024704.2,ENSG00000244063.1,0.06,0,0.084,5.08E-01
AC024937.4,ENSG00000231464.1,0.22,0.285,-0.075,5.37E-01
AC024937.6,ENSG00000231443.2,1.455,2.975,-0.695,3.00E-06
AC025048.1,ENSG00000280852.1,0.23,0.18,0.06,3.57E-01
AC025165.8,ENSG00000224713.4,0.17,7.135,-2.798,5.76E-191
AC025171.1,ENSG00000215068.7,0.49,2.385,-1.184,4.67E-49
AC025335.1,ENSG00000179859.7,3.13,3.945,-0.26,5.64E-02
AC025627.7,ENSG00000228983.8,0,0.41,-0.496,9.00E-90
AC025811.3,ENSG00000270947.1,0.09,0.375,-0.335,1.56E-07
AC025918.2,ENSG00000225798.1,0,0.31,-0.39,2.28E-37
AC026150.6,ENSG00000260784.1,0.08,1.125,-0.976,2.28E-82
