Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
AC005237.4,ENSG00000225521.1,0.1,0.36,-0.306,1.07E-06
AC005251.3,ENSG00000219451.3,0.12,0.645,-0.555,5.82E-36
AC005253.2,ENSG00000268030.1,0.93,5.47,-1.745,1.80E-87
AC005255.3,ENSG00000256210.3,0.27,0,0.345,7.42E-06
AC005264.2,ENSG00000267551.3,0.02,0,0.029,3.58E-02
AC005281.1,ENSG00000226690.6,0.04,0,0.057,1.25E-06
AC005300.5,ENSG00000236325.1,0.015,0,0.021,1.90E-01
AC005306.3,ENSG00000267283.1,0.14,1.83,-1.312,3.89E-64
AC005307.1,ENSG00000260725.1,0.04,0,0.057,1.92E-03
AC005307.3,ENSG00000267243.5,0.165,0,0.22,2.36E-06
AC005329.7,ENSG00000248015.6,0.16,1.255,-0.959,2.10E-52
AC005330.2,ENSG00000267372.2,0.04,0.1,-0.081,1.26E-03
AC005336.4,ENSG00000267056.2,0.21,0,0.275,7.92E-11
AC005336.5,ENSG00000267218.2,0.02,0,0.029,4.65E-04
AC005339.2,ENSG00000268565.1,0.375,2.26,-1.246,2.33E-03
AC005355.2,ENSG00000251169.2,0.04,0,0.057,1.44E-03
AC005355.3,ENSG00000280420.1,0.03,0.14,-0.146,1.33E-07
AC005363.11,ENSG00000277602.1,0.2,0,0.263,8.72E-01
AC005363.9,ENSG00000255513.1,0,1.61,-1.384,4.62E-19
AC005387.2,ENSG00000269191.1,0.115,0.865,-0.742,2.68E-75
AC005387.3,ENSG00000268938.2,0.09,0.595,-0.549,2.84E-44
AC005477.1,ENSG00000280188.1,0.01,0,0.014,2.86E-01
AC005481.5,ENSG00000222012.1,0.01,0.63,-0.691,1.85E-105
AC005488.11,ENSG00000205584.6,0.065,0.07,-0.007,2.62E-01
AC005498.3,ENSG00000267421.6,0.53,0.685,-0.139,9.53E-01
AC005498.4,ENSG00000267224.1,0.07,0.285,-0.264,3.05E-16
AC005517.3,ENSG00000223878.1,0.305,4.664,-2.118,2.26E-106
AC005519.4,ENSG00000258559.2,0.95,9.595,-2.442,5.97E-94
AC005522.7,ENSG00000225703.1,0.04,0,0.057,5.44E-05
AC005523.2,ENSG00000269604.1,7.76,5.54,0.422,4.76E-10
AC005523.3,ENSG00000268536.1,0.04,0,0.057,1.00E+00
AC005532.5,ENSG00000230825.1,0.08,0,0.111,2.75E-05
AC005534.6,ENSG00000234450.1,0.105,0.285,-0.218,2.69E-05
AC005534.8,ENSG00000224903.1,0.08,0.16,-0.103,2.72E-02
AC005537.2,ENSG00000232006.8,2.235,0.07,1.596,7.76E-28
AC005538.3,ENSG00000279809.1,1.645,0.14,1.214,5.06E-15
AC005546.2,ENSG00000266897.1,0.11,0,0.151,3.90E-06
AC005550.3,ENSG00000237070.1,0,0.06,-0.084,2.41E-38
AC005562.1,ENSG00000214719.11,2.87,3.635,-0.26,9.82E-04
AC005578.3,ENSG00000280247.1,0.06,0,0.084,1.70E-06
AC005592.1,ENSG00000236714.1,0.01,0.015,-0.007,1.00E+00
AC005592.2,ENSG00000231185.6,0.305,0,0.384,7.94E-15
AC005592.3,ENSG00000261757.1,0.01,0,0.014,2.75E-01
AC005593.2,ENSG00000279584.1,0.07,0,0.098,1.00E+00
AC005606.15,ENSG00000260107.1,0,0.23,-0.299,5.47E-01
AC005609.16,ENSG00000279726.1,0.05,0.08,-0.041,5.53E-01
AC005609.18,ENSG00000278915.1,0.05,0,0.07,3.88E-06
AC005609.20,ENSG00000278946.1,0.11,0.06,0.066,2.05E-01
AC005614.3,ENSG00000269296.1,0.01,0,0.014,2.55E-02
AC005618.6,ENSG00000272070.1,0.35,0.785,-0.403,2.97E-08
AC005618.8,ENSG00000280026.1,0.05,0.335,-0.346,2.81E-01
AC005624.2,ENSG00000267201.1,0.12,0,0.164,6.66E-13
AC005682.5,ENSG00000228649.8,0.68,3.67,-1.475,3.45E-51
AC005682.6,ENSG00000226329.2,0.11,0.645,-0.568,3.34E-38
AC005682.7,ENSG00000226279.2,0.05,0,0.07,1.00E+00
AC005740.3,ENSG00000226040.3,0.05,0,0.07,1.44E-02
AC005740.6,ENSG00000271871.1,0.12,0.97,-0.815,9.72E-98
AC005752.10,ENSG00000277795.1,0.02,0.135,-0.154,1.39E-41
AC005753.1,ENSG00000278925.1,0.295,0.23,0.074,2.67E-02
AC005754.7,ENSG00000272154.4,0.09,0.19,-0.127,6.75E-01
AC005754.8,ENSG00000272108.1,0.24,0.785,-0.526,5.35E-11
AC005757.7,ENSG00000267037.1,0.03,0,0.043,1.38E-03
AC005775.2,ENSG00000266933.2,0.17,0.325,-0.179,2.41E-08
AC005776.1,ENSG00000270802.2,0.8,0,0.848,6.05E-17
AC005779.2,ENSG00000267545.1,0.09,0.08,0.013,8.76E-02
AC005785.2,ENSG00000268189.2,0.48,0.785,-0.27,3.68E-06
AC005785.5,ENSG00000279203.1,0.9,1.67,-0.491,1.70E-03
AC005786.7,ENSG00000267436.1,0,3.425,-2.146,1.72E-36
AC005795.1,ENSG00000268034.1,0.58,0.095,0.529,1.63E-27
AC005822.1,ENSG00000235554.1,0.12,0.2,-0.1,6.99E-07
AC005932.1,ENSG00000269019.1,0.195,0.19,0.006,7.47E-01
AC005943.2,ENSG00000267059.2,6.885,0,2.979,2.24E-30
AC005944.2,ENSG00000267469.1,11.975,26.853,-1.102,9.07E-11
AC005954.4,ENSG00000267205.1,0,0.14,-0.189,1.19E-23
AC006011.4,ENSG00000244563.1,17.145,5.44,1.495,5.19E-50
AC006014.7,ENSG00000242073.2,0.615,0.99,-0.301,2.33E-05
AC006014.8,ENSG00000146722.11,0.45,1.325,-0.681,1.78E-14
AC006033.22,ENSG00000231916.1,0.69,0,0.757,1.27E-14
AC006042.6,ENSG00000227719.1,0.205,0.15,0.067,1.64E-02
AC006042.8,ENSG00000233264.2,0.02,0.32,-0.372,6.21E-77
AC006077.3,ENSG00000279799.1,1.11,3.05,-0.941,6.43E-25
AC006116.13,ENSG00000266932.1,0.05,0.09,-0.054,1.00E+00
AC006116.15,ENSG00000267429.1,0.05,0.11,-0.08,1.63E-03
AC006116.17,ENSG00000267549.5,0.23,0.27,-0.046,7.21E-01
AC006116.19,ENSG00000267298.1,0,0.135,-0.183,8.24E-26
AC006116.20,ENSG00000267710.5,0.14,0.445,-0.342,2.66E-14
AC006116.22,ENSG00000266907.1,0.03,0.205,-0.226,5.03E-50
AC006116.24,ENSG00000267776.1,0.31,2.15,-1.266,6.24E-53
AC006116.27,ENSG00000267459.1,0.44,3.23,-1.554,5.85E-30
AC006126.3,ENSG00000266958.1,0.06,0.09,-0.04,9.10E-01
